Community Name,picUrl
uri,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/University_of_Rhode_Island_seal.svg/600px-University_of_Rhode_Island_seal.svg.png
oberlin,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Formal_Seal_of_Oberlin_College%2C_Oberlin%2C_OH%2C_USA.svg/603px-Formal_Seal_of_Oberlin_College%2C_Oberlin%2C_OH%2C_USA.svg.png
american,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/American_University_Seal.svg/600px-American_University_Seal.svg.png
dartmouth,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Dartmouth_College_shield.svg/560px-Dartmouth_College_shield.svg.png
newschool,https://upload.wikimedia.org/wikipedia/en/a/a0/The_New_School_logo.png
osu,https://upload.wikimedia.org/wikipedia/en/2/27/Seal_of_the_Ohio_State_University.png
nyu,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/New_York_University_Seal.svg/593px-New_York_University_Seal.svg.png
colgate,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Colgate_University_Seal.svg/590px-Colgate_University_Seal.svg.png
harvard,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Harvard_shield_wreath.svg/617px-Harvard_shield_wreath.svg.png
suffolk,https://upload.wikimedia.org/wikipedia/en/7/71/Suffolk_University.png
princeton,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Princeton_shield.svg/474px-Princeton_shield.svg.png
bu,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Boston_University_seal.svg/600px-Boston_University_seal.svg.png
pitt,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/University_of_Pittsburgh_seal.svg/592px-University_of_Pittsburgh_seal.svg.png
vt,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Virginia_Tech_seal.svg/600px-Virginia_Tech_seal.svg.png
trinitydc,https://upload.wikimedia.org/wikipedia/en/f/f6/Logo-Trinity-Washington-University.jpg
jhu,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Johns_Hopkins_University%27s_Academic_Seal.svg/447px-Johns_Hopkins_University%27s_Academic_Seal.svg.png
williams,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Williams_College_Seal.svg/606px-Williams_College_Seal.svg.png
columbia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Columbia_University_shield.svg/689px-Columbia_University_shield.svg.png
towson,https://upload.wikimedia.org/wikipedia/en/b/b2/Towson_University_seal.png
temple,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Temple_University_seal.svg/595px-Temple_University_seal.svg.png
gwu,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/George_Washington_University_seal.svg/600px-George_Washington_University_seal.svg.png
cmu,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Carnegie_Mellon_University_seal.svg/600px-Carnegie_Mellon_University_seal.svg.png
udc,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_the_District_of_Columbia_seal.svg/600px-University_of_the_District_of_Columbia_seal.svg.png
northeastern,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Northeastern_University_seal.svg/586px-Northeastern_University_seal.svg.png
marymount,https://en.wikipedia.org/wiki/Marymount_University#/media/File:Marymount_University_(seal).png
gmu,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/George_Mason_University_seal.svg/600px-George_Mason_University_seal.svg.png
upenn,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/695px-UPenn_shield_with_banner.svg.png
cornell,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cornell_University_seal.svg/600px-Cornell_University_seal.svg.png
risd,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Rhode_Island_School_of_Design_seal.svg/600px-Rhode_Island_School_of_Design_seal.svg.png
georgetown,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Georgetown_University_seal.svg/511px-Georgetown_University_seal.svg.png
cua,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Logo_of_The_Catholic_University_of_America.svg/496px-Logo_of_The_Catholic_University_of_America.svg.png
yale,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/571px-Yale_University_Shield_1.svg.png
brown,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Brown_University_coat_of_arms.svg/353px-Brown_University_coat_of_arms.svg.png
ithaca,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Formal_Seal_of_Ithaca_College%2C_Ithaca%2C_NY%2C_USA.svg/603px-Formal_Seal_of_Ithaca_College%2C_Ithaca%2C_NY%2C_USA.svg.png
howard,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Howard_University_seal.svg/600px-Howard_University_seal.svg.png
udel,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/University_of_Delaware_Seal.svg/600px-University_of_Delaware_Seal.svg.png
barnard,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Formal_Seal_of_Barnard_College%2C_New_York_City%2C_USA.svg/600px-Formal_Seal_of_Barnard_College%2C_New_York_City%2C_USA.svg.png
goucher,https://upload.wikimedia.org/wikipedia/en/f/f2/GoucherSeal.png
mit,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/MIT_Seal.svg/602px-MIT_Seal.svg.png
ku,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/University_of_Kansas_seal.svg/595px-University_of_Kansas_seal.svg.png